,date,open,close,high,low,volume,code
0,2010-01-04,8.149,7.88,8.169,7.87,241922.76,000001
1,2010-01-05,7.893,7.743,7.943,7.56,556499.82,000001
2,2010-01-06,7.727,7.61,7.727,7.551,412143.13,000001
3,2010-01-07,7.61,7.527,7.66,7.444,355336.85,000001
4,2010-01-08,7.477,7.511,7.56,7.428,288543.06,000001
5,2010-01-11,7.81,7.511,7.87,7.404,442846.02,000001
6,2010-01-12,7.501,7.461,7.527,7.245,591795.91,000001
7,2010-01-13,7.268,6.966,7.278,6.912,935039.47,000001
8,2010-01-14,6.979,6.969,7.032,6.846,521194.74,000001
9,2010-01-15,6.986,7.122,7.195,6.863,539508.46,000001
10,2010-01-18,7.122,7.135,7.231,7.049,349126.52,000001
11,2010-01-19,7.172,7.388,7.424,7.165,650715.14,000001
12,2010-01-20,7.384,7.105,7.511,7.079,490835.67,000001
13,2010-01-21,7.172,7.537,7.577,7.105,632301.3,000001
14,2010-01-22,7.457,7.67,7.793,7.271,882538.96,000001
15,2010-01-25,7.511,7.374,7.677,7.344,356058.64,000001
16,2010-01-26,7.374,7.328,7.507,7.178,345325.56,000001
17,2010-01-27,7.441,7.281,7.511,7.212,401034.76,000001
18,2010-01-28,7.245,7.228,7.328,7.015,262132.49,000001
19,2010-01-29,7.175,7.212,7.428,7.085,240688.21,000001
20,2010-02-01,7.215,7.059,7.235,6.979,283179.91,000001
21,2010-02-02,7.065,7.102,7.298,7.065,286733.6,000001
22,2010-02-03,7.155,7.504,7.504,7.059,549005.74,000001
23,2010-02-04,7.421,7.378,7.461,7.315,303346.03,000001
24,2010-02-05,7.185,7.311,7.418,7.115,276174.0,000001
25,2010-02-08,7.271,7.165,7.338,7.128,206423.07,000001
26,2010-02-09,7.178,7.311,7.361,7.155,248170.26,000001
27,2010-02-10,7.378,7.404,7.438,7.318,253839.64,000001
28,2010-02-11,7.381,7.348,7.428,7.338,139102.29,000001
29,2010-02-12,7.368,7.461,7.511,7.368,188385.63,000001
30,2010-02-22,7.414,7.344,7.461,7.338,165777.59,000001
31,2010-02-23,7.321,7.162,7.328,7.112,237781.28,000001
32,2010-02-24,7.115,7.215,7.241,7.052,231486.45,000001
33,2010-02-25,7.202,7.361,7.447,7.182,347878.98,000001
34,2010-02-26,7.315,7.461,7.517,7.305,450217.3,000001
35,2010-03-02,7.607,7.68,7.963,7.607,684647.27,000001
36,2010-03-03,7.68,7.743,7.76,7.577,284111.39,000001
37,2010-03-04,7.75,7.677,7.853,7.644,376320.84,000001
38,2010-03-05,7.677,7.733,7.806,7.66,291842.1,000001
39,2010-03-08,7.75,7.926,7.993,7.663,441053.92,000001
40,2010-03-09,7.936,7.916,8.066,7.81,394360.14,000001
41,2010-03-10,7.88,7.776,8.002,7.76,211058.84,000001
42,2010-03-11,7.826,7.863,7.966,7.773,241218.35,000001
43,2010-03-12,7.826,7.62,7.826,7.604,280216.35,000001
44,2010-03-15,7.604,7.441,7.604,7.378,189089.95,000001
45,2010-03-16,7.441,7.494,7.521,7.391,196848.75,000001
46,2010-03-17,7.517,7.707,7.71,7.464,192859.71,000001
47,2010-03-18,7.727,7.66,7.81,7.637,218152.2,000001
48,2010-03-19,7.66,7.657,7.71,7.544,176614.72,000001
49,2010-03-22,7.62,7.693,7.783,7.62,195256.78,000001
50,2010-03-23,7.71,7.587,7.73,7.547,159349.45,000001
51,2010-03-24,7.594,7.577,7.71,7.557,210982.92,000001
52,2010-03-25,7.564,7.411,7.567,7.404,166074.31,000001
53,2010-03-26,7.411,7.58,7.673,7.368,223460.79,000001
54,2010-03-29,7.63,7.83,7.929,7.574,444163.28,000001
55,2010-03-30,7.853,7.86,7.903,7.757,253043.41,000001
56,2010-03-31,7.86,7.71,7.866,7.67,305549.5,000001
57,2010-04-01,7.733,7.776,7.843,7.667,305158.92,000001
58,2010-04-02,7.796,7.786,7.81,7.713,195900.02,000001
59,2010-04-06,7.83,7.767,7.929,7.73,236509.32,000001
60,2010-04-07,7.76,7.594,7.786,7.537,318422.26,000001
61,2010-04-08,7.584,7.501,7.587,7.418,448387.23,000001
62,2010-04-09,7.501,7.531,7.557,7.477,220409.6,000001
63,2010-04-12,7.551,7.341,7.564,7.291,494770.64,000001
64,2010-04-13,7.368,7.444,7.514,7.328,449186.97,000001
65,2010-04-14,7.444,7.388,7.461,7.321,331852.41,000001
66,2010-04-15,7.404,7.444,7.444,7.305,357017.5,000001
67,2010-04-16,7.404,7.315,7.404,7.305,286467.97,000001
68,2010-04-19,7.162,6.673,7.172,6.643,826874.25,000001
69,2010-04-20,6.686,6.57,6.756,6.48,435134.33,000001
70,2010-04-21,6.583,6.69,6.7,6.514,373588.46,000001
71,2010-04-22,6.647,6.51,6.647,6.417,452210.08,000001
72,2010-04-23,6.527,6.7,6.833,6.444,556045.71,000001
73,2010-04-26,6.647,6.627,6.763,6.547,322314.93,000001
74,2010-04-27,6.573,6.597,6.716,6.497,348903.88,000001
75,2010-04-28,6.56,6.693,6.706,6.514,334938.83,000001
76,2010-04-29,6.753,6.703,6.856,6.69,368242.42,000001
77,2010-04-30,6.73,6.833,6.843,6.693,324344.62,000001
78,2010-05-04,6.68,6.647,6.746,6.57,286747.1,000001
79,2010-05-05,6.676,6.613,6.72,6.434,650422.44,000001
80,2010-05-06,6.544,6.115,6.544,6.085,685796.6,000001
81,2010-05-07,5.992,6.068,6.165,5.965,412579.99,000001
82,2010-05-10,6.098,6.125,6.208,6.045,386416.88,000001
83,2010-05-11,6.268,5.806,6.278,5.802,561716.55,000001
84,2010-05-12,5.749,6.018,6.082,5.703,521040.82,000001
85,2010-05-13,5.985,6.208,6.288,5.982,567527.0,000001
86,2010-05-14,6.208,6.098,6.211,6.048,265628.24,000001
87,2010-05-17,5.982,5.793,5.989,5.763,326607.79,000001
88,2010-05-18,5.816,5.972,6.018,5.749,361900.91,000001
89,2010-05-19,5.896,5.902,6.038,5.786,256356.25,000001
90,2010-05-20,5.839,5.832,5.999,5.809,218289.49,000001
91,2010-05-21,5.683,5.922,5.939,5.656,220795.49,000001
92,2010-05-24,5.955,6.112,6.181,5.955,317915.66,000001
93,2010-05-25,6.048,5.912,6.065,5.899,245946.16,000001
94,2010-05-26,5.942,5.949,6.038,5.919,171611.15,000001
95,2010-05-27,5.939,6.005,6.022,5.802,278166.65,000001
96,2010-05-28,6.065,6.009,6.112,5.989,253974.4,000001
97,2010-05-31,5.949,5.819,6.048,5.816,270457.58,000001
98,2010-06-01,5.793,5.749,5.879,5.713,218091.02,000001
99,2010-06-02,5.733,5.726,5.786,5.623,251256.05,000001
100,2010-06-03,5.753,5.723,5.886,5.723,287561.78,000001
101,2010-06-04,5.719,5.749,5.816,5.703,134735.13,000001
102,2010-06-07,5.683,5.62,5.749,5.586,241493.27,000001
103,2010-06-08,5.623,5.55,5.656,5.483,170330.17,000001
104,2010-06-09,5.58,5.872,5.912,5.51,495743.74,000001
105,2010-06-10,5.739,5.686,5.806,5.676,284640.74,000001
106,2010-06-11,5.719,5.699,5.802,5.65,209983.39,000001
107,2010-06-18,5.713,5.756,5.899,5.699,448492.56,000001
108,2010-06-21,5.753,6.082,6.155,5.753,589807.12,000001
109,2010-06-22,6.065,6.158,6.254,6.018,417137.71,000001
110,2010-06-23,6.082,6.098,6.188,6.025,324679.5,000001
111,2010-06-24,6.082,6.158,6.251,6.058,233515.19,000001
112,2010-06-25,6.112,6.018,6.148,5.992,227502.85,000001
113,2010-06-28,5.999,6.145,6.181,5.999,244148.09,000001
114,2010-06-29,6.158,5.819,6.158,5.816,306683.25,000001
115,2010-09-02,6.314,6.045,6.314,5.945,1634542.0,000001
116,2010-09-03,6.038,5.902,6.038,5.872,624129.0,000001
117,2010-09-06,5.935,6.048,6.112,5.905,609069.0,000001
118,2010-09-07,6.095,5.995,6.095,5.962,392852.0,000001
119,2010-09-08,5.952,5.866,5.952,5.819,490035.0,000001
120,2010-09-09,5.866,5.723,5.866,5.706,469897.0,000001
121,2010-09-10,5.703,5.716,5.786,5.65,251847.0,000001
122,2010-09-13,5.719,5.68,5.783,5.576,502228.0,000001
123,2010-09-14,5.699,5.709,5.769,5.68,299494.0,000001
124,2010-09-15,5.716,5.623,5.746,5.623,259235.0,000001
125,2010-09-16,5.65,5.527,5.696,5.5,286076.0,000001
126,2010-09-17,5.54,5.533,5.616,5.52,220792.0,000001
127,2010-09-20,5.54,5.55,5.63,5.487,197686.0,000001
128,2010-09-21,5.576,5.52,5.593,5.5,133992.0,000001
129,2010-09-27,5.53,5.547,5.567,5.46,188331.0,000001
130,2010-09-28,5.54,5.404,5.54,5.404,246526.0,000001
131,2010-09-29,5.39,5.39,5.46,5.354,213475.0,000001
